NodeID;Quantity;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;9;9;9;9;10;10;10;10;11;11;11;11;12;12;12;12;13;13;13;13;14;14;14;14;15;15;15;15;16;16;16;16;17;17;17;17;18;18;18;18;19;19;19;19;20;20;20;20;21;21;21;21;22;22;22;22;23;23;23;23
6;P;0,66;0,62;0,63;0,50;0,58;0,53;0,55;0,52;0,52;0,52;0,52;0,52;0,64;0,69;0,57;0,52;0,51;0,48;0,48;0,48;0,47;0,47;0,47;0,46;0,45;0,47;0,59;0,59;0,61;0,62;0,62;0,68;0,79;0,79;0,78;0,78;0,78;0,78;0,78;0,78;0,78;0,83;0,89;0,88;0,88;0,88;0,89;0,89;0,89;0,89;0,82;0,76;0,76;0,76;0,76;0,76;0,76;0,76;0,76;0,76;0,58;0,72;0,63;0,72;0,72;0,60;0,61;0,72;0,71;0,57;0,72;0,72;0,72;0,72;0,72;0,72;0,75;0,72;0,75;0,72;0,78;0,79;0,82;0,78;0,87;0,93;0,85;0,85;0,76;0,76;0,76;0,72;0,72;0,72;0,72;0,72
6;Q;0,20;0,19;0,19;0,15;0,17;0,16;0,16;0,15;0,15;0,15;0,16;0,16;0,19;0,21;0,17;0,16;0,15;0,14;0,14;0,14;0,14;0,14;0,14;0,14;0,13;0,14;0,18;0,18;0,18;0,19;0,19;0,20;0,24;0,24;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,25;0,27;0,26;0,26;0,26;0,27;0,27;0,27;0,27;0,25;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,23;0,17;0,22;0,19;0,22;0,22;0,18;0,18;0,22;0,21;0,17;0,22;0,22;0,22;0,22;0,22;0,22;0,23;0,22;0,22;0,22;0,23;0,24;0,25;0,23;0,26;0,28;0,25;0,25;0,23;0,23;0,23;0,22;0,22;0,22;0,22;0,22
5;P;-1,84;-1,92;-1,92;-1,92;-1,92;-1,92;-1,94;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-2,12;-1,94;-1,92;-1,74;-1,72;-1,64;-1,52;-1,35;-1,32;-1,32;-1,32;-1,32;-1,32;-1,17;-1,12;-0,96;-0,92;-0,92;-0,92;-0,92;-0,92;-1,05;-1,12;-1,12;-1,12;-1,12;-1,20;-1,32;-1,32;-1,49;-1,53;-1,53;-1,54;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,73;-1,59;-1,53;-1,49;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,33;-1,50;-1,53;-1,69;-1,73;-1,77;-1,93
5;Q;-0,55;-0,58;-0,58;-0,58;-0,58;-0,58;-0,58;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,64;-0,58;-0,58;-0,52;-0,52;-0,49;-0,46;-0,41;-0,39;-0,39;-0,39;-0,39;-0,39;-0,35;-0,33;-0,29;-0,27;-0,27;-0,27;-0,27;-0,27;-0,32;-0,34;-0,34;-0,34;-0,34;-0,36;-0,40;-0,40;-0,45;-0,46;-0,46;-0,46;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,52;-0,48;-0,46;-0,45;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,40;-0,45;-0,46;-0,51;-0,52;-0,53;-0,58
8;P;-0,04;0,07;0,05;-0,17;-1,35;-1,82;-1,76;-0,53;0,07;0,22;0,10;0,10;0,18;0,18;0,24;0,20;0,20;0,20;0,20;0,21;0,24;0,26;0,37;0,71;0,75;0,75;0,60;0,58;0,56;0,56;0,43;0,36;0,36;0,36;0,25;0,20;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,17;0,15;0,08;0,17;0,17;0,17;0,24;-0,31;-1,38;0,19;0,46;0,50;0,49;0,50;0,46;0,37;0,30;0,25;0,16;0,18;0,29;0,30;0,25;0,20;0,16;0,18;0,12;0,14;0,07;-0,02;-0,09;-0,12;-0,15;-0,14;-0,14;-0,16;-0,15;-0,33;-0,41;-0,44;-0,48;-0,48;-0,50;-0,47;-0,45;-0,43;-0,46;-0,26;-0,46;-1,30;-2,00
8;Q;-0,01;0,02;0,02;-0,05;-0,40;-0,55;-0,53;-0,16;0,02;0,07;0,03;0,03;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,07;0,08;0,11;0,21;0,22;0,22;0,18;0,18;0,17;0,17;0,13;0,11;0,11;0,11;0,07;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,02;0,05;0,05;0,05;0,07;-0,09;-0,41;0,06;0,14;0,15;0,15;0,15;0,14;0,11;0,09;0,08;0,05;0,05;0,09;0,09;0,08;0,06;0,05;0,05;0,03;0,04;0,02;-0,01;-0,03;-0,04;-0,04;-0,04;-0,04;-0,05;-0,05;-0,10;-0,12;-0,13;-0,14;-0,14;-0,15;-0,14;-0,14;-0,13;-0,14;-0,08;-0,14;-0,39;-0,60
9;P;2,21;1,97;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,79;1,63;1,36;1,36;1,36;1,36;1,36;1,36;1,36;1,39;1,79;1,79;1,79;1,79;1,79;1,96;2,19;2,19;2,19;2,19;2,19;2,60;2,60;2,60;2,60;2,60;2,60;2,81;3,01;3,01;3,01;3,01;3,01;3,01;2,97;2,60;2,60;2,60;2,60;2,43;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,19;2,45;2,62;2,62;2,62;2,62;2,62;2,62;2,62;2,62;2,54;2,21;2,21;2,21
9;Q;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20
2;P;1,80;1,73;1,70;1,64;1,58;1,54;1,50;1,48;1,46;1,46;1,47;1,46;1,38;1,40;1,39;1,38;1,37;1,38;1,38;1,39;1,37;1,30;1,28;1,33;1,39;1,44;1,47;1,54;1,66;1,74;1,91;2,05;2,14;2,21;2,30;2,42;2,49;2,52;2,57;2,61;2,66;2,66;2,70;2,68;2,80;2,79;2,77;2,73;2,71;2,69;2,61;2,48;2,38;2,30;2,24;2,18;2,17;2,13;2,10;2,01;2,01;1,97;1,99;1,94;1,95;1,91;1,92;1,95;1,96;1,92;1,99;2,07;2,09;2,09;2,15;2,18;2,20;2,17;2,21;2,20;2,33;2,33;2,48;2,62;2,69;2,68;2,65;2,57;2,50;2,51;2,44;2,34;2,10;2,02;1,85;1,79
