NodeID;Quantity;0;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;9;9;9;9;10;10;10;10;11;11;11;11;12;12;12;12;13;13;13;13;14;14;14;14;15;15;15;15;16;16;16;16;17;17;17;17;18;18;18;18;19;19;19;19;20;20;20;20;21;21;21;21;22;22;22;22;23;23;23;23
22;P;4,06;3,91;4,05;3,85;3,84;3,83;3,85;3,75;3,69;3,61;3,76;3,67;3,82;3,86;3,7;3,78;3,9;3,64;3,53;3,68;3,78;3,69;3,65;3,65;3,81;3,62;3,57;3,91;4,42;4,87;5,13;4,92;4,92;5,06;4,83;4,92;4,87;4,93;4,91;4,83;4,71;4,86;5,02;4,89;4,96;5,17;4,99;4,77;4,87;4,95;4,85;5;5;4,83;4,81;4,69;4,45;4,25;4,08;4,03;4,21;4,52;4,65;4,7;4,81;4,9;5,03;4,93;4,9;4,86;4,82;4,79;4,92;4,56;4,49;4,39;4,44;4,33;4,31;4,43;4,25;4,41;4,45;4,28;4,18;4,18;4,18;4,08;4,04;3,76;3,65;3,55;3,72;3,66;3,58;3,72
22;Q;0,46;0,48;0,46;0,28;0,24;0,29;0,33;0,33;0,29;0,24;0,25;0,25;0,35;0,34;0,32;0,31;0,35;0,28;0,24;0,26;0,24;0,21;0,26;0,22;0,22;0,18;0,13;0,24;0,48;0,58;0,88;0,77;0,76;0,76;0,66;0,64;0,63;0,56;0,6;0,64;0,64;0,68;0,78;0,71;0,7;0,69;0,68;0,55;0,71;0,6;0,61;0,71;0,74;0,57;0,57;0,47;0,36;0,34;0,34;0,35;0,42;0,6;0,57;0,6;0,57;0,7;0,71;0,63;0,62;0,65;0,63;0,56;0,47;0,37;0,38;0,49;0,43;0,41;0,51;0,43;0,41;0,44;0,44;0,35;0,3;0,29;0,23;0,21;0,29;0,21;0,18;0,13;0,19;0,2;0,21;0,24
17;P;1,37;1,38;1,32;1,32;1,31;1,31;1,3;1,32;1,29;1,24;1,23;1,24;1,22;1,21;1,26;1,28;1,27;1,26;1,21;1,28;1,33;1,29;1,31;1,42;1,55;1,58;1,63;1,71;1,82;1,9;1,9;1,94;2,01;2,04;2,04;2,11;2,08;2,13;2,08;2,15;2,17;2,14;2,07;2,06;2,02;2,05;2,06;2,1;1,99;1,99;1,98;1,97;1,94;1,9;1,87;1,83;1,79;1,82;1,7;1,71;1,66;1,82;1,86;1,9;1,92;1,98;2,02;2,13;2,37;2,43;2,41;2,42;2,4;2,3;2,23;2,24;2,14;2,09;2,13;2,12;2,09;2,13;2,01;1,98;1,96;1,89;1,91;1,9;1,86;1,78;1,72;1,65;1,6;1,58;1,51;1,5
17;Q;-0,25;-0,25;-0,25;-0,26;-0,25;-0,25;-0,25;-0,25;-0,25;-0,26;-0,27;-0,26;-0,28;-0,28;-0,27;-0,25;-0,26;-0,27;-0,27;-0,27;-0,25;-0,25;-0,25;-0,23;-0,21;-0,16;-0,14;-0,11;-0,05;-0,01;-0,04;-0,02;0;-0,04;-0,04;-0,05;-0,02;-0,03;-0,03;-0,01;0;-0,01;-0,03;-0,05;-0,09;-0,1;-0,09;-0,06;-0,11;-0,13;-0,11;-0,15;-0,16;-0,16;-0,15;-0,17;-0,13;-0,13;-0,18;-0,18;-0,17;-0,16;-0,16;-0,15;-0,17;-0,15;-0,13;-0,05;0,02;0,06;0,05;0,04;0,02;-0,01;-0,01;-0,03;-0,07;-0,09;-0,06;-0,05;-0,1;-0,11;-0,15;-0,15;-0,16;-0,18;-0,16;-0,17;-0,17;-0,18;-0,21;-0,18;-0,2;-0,2;-0,22;-0,22
38;P;3,32;3,27;3,2;3,13;3,07;3,05;2,99;3,04;3,04;3,02;2,87;2,82;2,93;3,03;3,03;3,01;2,94;3,02;3,06;3,1;3,23;3,27;3,45;3,9;4,9;5,48;5,84;6,15;6,57;6,63;6,58;6,46;6,74;6,87;6,89;6,91;6,88;6,86;6,44;6,36;5,96;6,04;6,79;6,77;6,83;6,77;6,78;6,82;6,36;6,42;6,26;6,18;6,05;6,22;6,08;5,65;5,19;5,29;5,12;5,15;5,05;5,18;5,18;5,26;5,23;5,32;5,46;5,53;5,8;5,79;5,86;5,82;5,71;5,55;5,03;4,98;5,36;5,59;5,64;5,5;5,36;5,35;5,44;5,31;5,25;5,17;5,01;4,76;4,43;4,21;4,06;4,05;3,81;3,76;3,63;3,58
38;Q;-0,65;-0,68;-0,68;-0,7;-0,73;-0,73;-0,74;-0,72;-0,71;-0,7;-0,78;-0,77;-0,73;-0,74;-0,72;-0,73;-0,77;-0,74;-0,71;-0,72;-0,69;-0,68;-0,63;-0,44;-0,14;-0,08;0,02;0,12;0,28;0,34;0,35;0,29;0,34;0,4;0,42;0,45;0,42;0,37;0,21;0,13;-0,02;0;0,34;0,34;0,36;0,35;0,3;0,3;0,16;0,21;0,23;0,23;0,12;0,14;0,09;-0,11;-0,25;-0,22;-0,24;-0,28;-0,25;-0,22;-0,27;-0,25;-0,28;-0,22;-0,16;-0,16;-0,09;-0,1;-0,11;-0,12;-0,18;-0,22;-0,28;-0,33;-0,15;-0,15;-0,14;-0,13;-0,19;-0,2;-0,18;-0,22;-0,23;-0,28;-0,37;-0,42;-0,45;-0,49;-0,56;-0,56;-0,58;-0,56;-0,58;-0,61
36;P;0,38;0,33;0,31;0,25;0,25;0,21;0,21;0,16;0,22;0,24;0,16;0,21;0,17;0,16;0,18;0,22;0,2;0,2;0,19;0,19;0,26;0,36;0,4;0,56;0,63;0,78;0,83;0,92;1;0,99;0,96;0,99;1,06;1,07;1,08;1,14;1,05;0,99;0,99;1,04;0,99;1,03;1,02;1;0,93;0,9;0,93;0,99;0,97;0,89;0,9;0,89;0,82;0,85;0,88;0,88;0,83;0,82;0,79;0,83;0,79;0,81;0,84;0,91;0,95;1,01;1,1;1,18;1,48;1,62;1,64;1,65;1,56;1,49;1,36;1,33;1,25;1,24;1,18;1,19;1,16;1,21;1,16;1,16;1,07;1,03;1,07;1,01;0,85;0,83;0,76;0,69;0,71;0,62;0,59;0,51
36;Q;-0,69;-0,73;-0,73;-0,73;-0,7;-0,74;-0,73;-0,74;-0,72;-0,72;-0,76;-0,73;-0,75;-0,75;-0,72;-0,73;-0,75;-0,76;-0,75;-0,72;-0,71;-0,69;-0,69;-0,63;-0,63;-0,59;-0,59;-0,54;-0,54;-0,52;-0,55;-0,53;-0,54;-0,57;-0,55;-0,56;-0,59;-0,62;-0,62;-0,62;-0,66;-0,65;-0,64;-0,65;-0,67;-0,72;-0,69;-0,69;-0,68;-0,71;-0,68;-0,7;-0,73;-0,73;-0,69;-0,67;-0,71;-0,72;-0,72;-0,69;-0,7;-0,7;-0,7;-0,66;-0,67;-0,63;-0,56;-0,47;-0,37;-0,34;-0,35;-0,34;-0,37;-0,43;-0,49;-0,5;-0,52;-0,53;-0,57;-0,56;-0,58;-0,6;-0,58;-0,59;-0,6;-0,65;-0,61;-0,62;-0,64;-0,66;-0,66;-0,66;-0,63;-0,67;-0,66;-0,67
26;P;3,28;3,17;3,05;2,99;2,94;2,9;2,81;2,71;2,64;2,61;2,6;2,57;2,64;2,67;2,62;2,62;2,71;2,69;2,7;2,68;2,86;2,92;3,04;3,33;3,6;3,9;4;4,21;4,47;4,33;4,22;4,37;4,42;4,45;4,54;4,56;4,63;4,65;4,68;4,74;4,76;4,82;4,82;4,82;4,86;4,85;4,86;4,98;4,94;4,83;4,7;4,69;4,6;4,61;4,58;4,44;4,48;4,58;4,6;4,53;4,41;4,48;4,57;4,57;4,66;4,79;4,9;4,91;5,35;5,46;5,64;5,64;5,57;5,49;5,35;5,4;5,42;5,34;5,29;5,29;5,2;5,33;5,31;5,29;5,12;4,95;4,9;4,77;4,54;4,43;4,32;4,26;4,17;4,05;3,93;3,76
